entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,regime,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,is_win,entry_hour,entry_dayofweek,entry_month,win_probability,entry_quality_score,atr_stop_loss,atr_take_profit
2020-12-30 10:55:00,2020-12-30 13:50:00,1,381.45,387.8,pivot,6.350000000000023,0.1230775,6.226922500000023,196148.05875000072,1.0,2020-12-30,381.85,381.9,381.4,0.0,387.5,387.8,387.35,0.0,1.0,2020,69.84126984126927,0.4412179143189405,0.4281066507174659,0.0131112636014746,0.5821428571428636,382.8482142857143,1.0,381.0100000000001,379.5066666666667,381.8117087055747,380.2082912944254,381.0100000000001,1,10,2,12,0.66683763,0.903325087766264,0.8732142857142955,2.0375000000000227
2021-01-05 09:20:00,2021-01-05 15:05:00,1,399.2,404.55,pivot,5.350000000000023,0.1241125,5.225887500000023,164615.45625000072,1.0,2021-01-05,398.35,399.25,398.2,0.0,405.2,405.45,404.45,0.0,1.0,2021,43.52941176470612,-0.0269808487721547,0.1409251541342804,-0.1679060029064352,0.9785714285714237,401.4839285714286,1.0,399.4925,399.1725,400.7932184249687,398.1917815750313,399.4925,1,9,1,1,0.8774503,0.9853347763347764,1.4678571428571354,3.424999999999983
2021-01-08 09:30:00,2021-01-08 14:40:00,1,419.15,426.65,pivot,7.5,0.125374,7.374626,232300.719,1.0,2021-01-08,418.7,419.45,418.0,0.0,426.65,427.05,426.05,0.0,1.0,2021,73.47826086956512,1.6811176992029573,0.9838322255515696,0.6972854736513876,1.2607142857142963,421.1357142857143,1.0,414.55,413.2575,420.6398535113312,408.4601464886688,414.55,1,9,4,1,0.67020535,0.8895928205781145,1.8910714285714445,4.412500000000037
2021-01-08 14:40:00,2021-01-08 15:45:00,1,426.65,430.35,eod,3.7000000000000455,0.12571,3.5742900000000453,112590.13500000142,1.0,2021-01-08,426.65,427.05,426.05,0.0,430.35,430.35,430.35,0.0,1.0,2021,74.21383647798724,1.0548756724957684,0.8430368599241775,0.2118388125715908,1.017857142857147,428.9071428571429,1.0,424.6025,422.45,427.2219565527192,421.9830434472807,424.6025,1,14,4,1,0.85330987,0.9022399267399268,1.5267857142857206,3.5625000000000147
2021-01-25 10:45:00,2021-01-25 15:45:00,1,432.25,436.6,eod,4.350000000000023,0.1260655,4.223934500000023,133053.93675000072,1.0,2021-01-25,432.4,432.9,432.15,0.0,436.6,436.6,436.6,0.0,1.0,2021,71.05263157894738,0.8839004810038773,0.7874571995754702,0.096443281428407,1.0214285714285682,434.725,1.0,430.99750000000006,429.7791666666666,433.8482570554893,428.1467429445108,430.99750000000006,1,10,0,1,0.6716098,0.9132967645099996,1.5321428571428524,3.5749999999999886
2021-02-01 11:40:00,2021-02-01 15:25:00,1,409.75,414.8,pivot,5.050000000000011,0.1247365,4.925263500000011,155145.80025000035,1.0,2021-02-01,410.4,410.6,409.2,0.0,414.85,415.0,414.55,0.0,1.0,2021,46.478873239436574,0.7753368591289131,0.9229032868238868,-0.1475664276949735,1.085714285714285,438.0321428571428,1.0,410.06000000000006,407.2825,412.2608610754944,407.8591389245057,410.06000000000006,1,11,0,2,0.8038222,0.8580295434269892,1.6285714285714274,3.799999999999997
2021-02-03 10:00:00,2021-02-03 11:15:00,1,426.0,421.0,pivot,-5.0,0.12541,-5.1254100000000005,-161450.415,1.0,2021-02-03,424.8,426.0,424.65,0.0,421.5,421.55,420.6,0.0,1.0,2021,63.6771300448432,1.1191983142352342,1.0315155843095904,0.0876827299256437,1.5714285714285754,438.0321428571428,1.0,423.945,422.93000000000006,428.46919228032544,419.42080771967454,423.945,0,10,2,2,0.7008799,0.7317238684518095,2.357142857142863,5.500000000000014
2021-02-25 10:30:00,2021-02-25 15:45:00,1,415.8,422.95,eod,7.149999999999977,0.1251625,7.024837499999977,221282.38124999928,1.0,2021-02-25,415.6,416.3,415.6,0.0,422.95,422.95,422.95,0.0,1.0,2021,63.030303030303145,1.1851997072975564,1.1680744454176473,0.0171252618799091,1.0321428571428524,404.9785714285714,-1.0,414.475,412.4825,418.3594494292527,410.5905505707474,414.475,1,10,3,2,0.62020475,0.8313087002866417,1.5482142857142787,3.6124999999999834
2021-03-03 10:15:00,2021-03-03 15:10:00,1,413.75,419.15,pivot,5.399999999999977,0.124987,5.275012999999977,166162.90949999928,1.0,2021-03-03,414.45,414.6,413.7,0.0,419.4,419.4,418.95,0.0,1.0,2021,54.79452054794512,0.0661390585190702,0.1565679849490188,-0.0904289264299486,1.0249999999999977,404.9785714285714,-1.0,414.8625,414.8416666666666,416.2947874601191,413.4302125398809,414.8625,1,10,2,3,0.8256906,0.9867902930402932,1.5374999999999965,3.587499999999992
2021-03-08 09:55:00,2021-03-08 12:05:00,1,413.8,410.6,eod,-3.1999999999999886,0.124732,-3.3247319999999885,-104729.05799999964,1.0,2021-03-08,414.5,414.75,413.75,0.0,410.6,411.55,410.5,0.0,1.0,2021,63.9784946236561,0.6020633549002241,0.5058526519772346,0.0962107029229895,1.1964285714285714,403.9857142857143,-1.0,412.98,411.7600000000001,414.7969957854153,411.1630042145848,412.98,0,9,0,3,0.61208224,0.9609284696784696,1.7946428571428572,4.1875
